Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure,Target
1,299.8,309.8,1427,45.2,106,0,1,0,0,0,0,0
1,297.5,309.4,1678,34.4,148,0,1,0,0,0,0,0
0,299.2,308.8,1405,51.4,183,0,1,0,0,0,0,0
1,299.9,309.2,1389,51.2,185,0,1,0,0,0,0,0
2,303.3,311.8,1649,29.4,49,0,1,0,0,0,0,0
0,300.4,309.8,1513,32.9,117,0,1,0,0,0,0,0
1,303.1,312.3,1623,31.6,101,0,1,0,0,0,0,0
0,301.7,310.1,1402,50.1,3,0,1,0,0,0,0,0
1,303.0,311.3,1335,53.6,164,1,0,0,0,0,0,1
0,302.0,310.7,1453,42.7,92,0,1,0,0,0,0,0
0,302.3,311.4,1434,40.3,133,0,1,0,0,0,0,0
2,300.0,309.5,1735,28.9,82,0,1,0,0,0,0,0
1,300.9,310.7,1362,51.6,212,0,1,0,0,0,0,0
1,296.6,307.7,1474,52.6,101,0,1,0,0,0,0,0
0,300.9,309.7,1431,41.4,199,0,1,0,0,0,0,0
0,298.1,307.7,2567,12.8,125,0,0,0,1,0,0,1
1,300.4,309.7,1539,37.7,156,0,1,0,0,0,0,0
0,297.4,308.4,1588,32.5,207,0,1,0,0,0,0,0
0,298.6,310.2,1569,36.3,10,0,1,0,0,0,0,0
0,297.7,308.4,1289,51.3,82,0,1,0,0,0,0,0
0,300.5,312.0,1453,45.1,151,0,1,0,0,0,0,0
0,304.0,312.8,1542,42.7,198,0,1,0,0,0,0,0
0,303.0,311.2,1382,50.5,203,0,1,0,0,0,0,0
0,303.0,311.2,1456,44.0,142,0,1,0,0,0,0,0
2,299.6,310.1,1531,36.8,62,0,1,0,0,0,0,0
0,298.6,309.8,1497,41.6,118,0,1,0,0,0,0,0
0,298.2,307.8,1530,35.9,68,0,1,0,0,0,0,0
0,300.9,310.4,2021,18.8,30,0,1,0,0,0,0,0
0,297.2,308.6,1864,23.6,103,0,1,0,0,0,0,0
0,299.2,308.5,1821,26.1,69,0,1,0,0,0,0,0
0,298.2,308.4,1310,61.0,189,0,0,1,0,0,0,1
1,298.8,309.9,1415,53.2,194,0,1,0,0,0,0,0
1,302.0,310.6,1563,41.0,184,0,1,0,0,0,0,0
0,300.3,311.4,1346,51.1,147,0,1,0,0,0,0,0
1,301.8,311.0,1756,26.7,33,0,1,0,0,0,0,0
1,298.2,307.7,1952,21.6,93,0,1,0,0,0,0,0
1,298.7,308.6,1722,24.7,64,0,1,0,0,0,0,0
0,299.7,309.1,1475,40.0,123,0,1,0,0,0,0,0
1,298.0,308.6,1376,55.7,214,0,1,0,0,0,0,0
1,299.6,309.4,1642,30.3,80,0,1,0,0,0,0,0
0,303.9,313.3,1526,40.7,164,0,1,0,0,0,0,0
1,297.5,308.6,1486,45.9,78,0,1,0,0,0,0,0
0,298.9,310.2,1362,53.0,185,0,1,0,0,0,0,0
1,296.6,307.5,1566,35.0,201,0,1,0,0,0,0,0
0,297.0,307.9,1529,42.2,157,0,1,0,0,0,0,0
1,302.0,311.4,1587,35.9,30,0,1,0,0,0,0,0
0,302.1,310.1,1753,28.9,176,0,1,0,0,0,0,0
0,297.2,307.9,1441,40.0,195,0,1,0,0,0,0,0
1,297.1,307.8,1443,43.9,137,0,1,0,0,0,0,0
1,303.6,311.8,1659,34.7,94,0,1,0,0,0,0,0
0,297.4,308.7,2874,4.2,118,0,0,0,1,0,0,1
1,298.0,307.4,1463,46.5,182,0,1,0,0,0,0,0
0,302.5,311.5,1985,18.8,190,0,1,0,0,0,0,0
0,300.8,311.8,1928,21.8,209,0,1,0,0,0,0,0
1,298.4,309.2,1399,45.2,125,0,1,0,0,0,0,0
2,302.2,310.0,1468,43.6,38,0,1,0,0,0,0,0
0,303.5,311.7,1620,31.0,141,0,1,0,0,0,0,0
1,297.3,308.0,1598,29.4,148,0,1,0,0,0,0,0
0,297.3,308.2,1754,29.4,123,0,1,0,0,0,0,0
0,299.8,309.1,1485,39.9,207,0,1,0,0,0,0,0
0,299.1,310.5,1437,43.1,40,0,1,0,0,0,0,0
0,299.0,310.4,1371,53.8,228,0,0,1,0,0,0,1
0,297.0,308.3,1492,48.1,137,0,1,0,0,0,0,0
0,302.3,310.9,1720,28.1,178,0,1,0,0,0,0,0
0,299.5,309.0,1498,44.6,101,0,1,0,0,0,0,0
1,301.0,311.0,1423,38.6,199,0,1,0,0,0,0,0
2,300.7,309.5,1667,30.5,29,0,1,0,0,0,0,0
0,298.7,310.2,1436,47.5,32,0,1,0,0,0,0,0
2,297.1,307.9,1420,39.8,192,0,1,0,0,0,0,0
0,300.7,310.2,1807,24.2,77,0,1,0,0,0,0,0
1,298.1,307.8,1569,31.2,131,0,1,0,0,0,0,0
1,302.1,310.7,1364,47.8,213,1,0,0,0,0,0,1
0,298.7,310.2,1525,43.7,34,0,1,0,0,0,0,0
2,299.8,311.3,1785,25.4,139,0,1,0,0,0,0,0
0,297.2,308.3,1796,23.8,61,0,1,0,0,0,0,0
2,297.9,307.5,1880,23.3,146,0,1,0,0,0,0,0
0,301.4,310.5,1380,48.4,131,0,1,0,0,0,0,0
2,297.7,309.7,1570,35.8,160,0,1,0,0,0,0,0
2,302.2,311.1,1476,39.6,96,0,1,0,0,0,0,0
0,300.7,310.2,1569,32.8,31,0,1,0,0,0,0,0
2,302.3,311.7,1449,44.5,152,0,1,0,0,0,0,0
0,302.0,309.9,1388,51.4,183,0,1,0,0,0,0,0
0,300.2,311.4,1891,22.6,86,0,1,0,0,0,0,0
0,296.9,307.9,1359,56.5,110,0,1,0,0,0,0,0
1,297.2,308.3,1794,27.5,38,0,1,0,0,0,0,0
0,302.3,311.5,1448,49.6,28,0,1,0,0,0,0,0
0,295.6,306.2,1446,49.9,133,0,1,0,0,0,0,0
0,303.8,312.6,1577,41.3,134,0,1,0,0,0,0,0
1,300.2,311.6,1513,40.8,157,0,1,0,0,0,0,0
1,303.0,311.0,1409,41.7,120,0,1,0,0,0,0,0
0,297.4,308.7,1638,31.9,131,0,1,0,0,0,0,0
0,301.5,310.4,1918,21.8,9,0,1,0,0,0,0,0
1,301.7,310.9,1644,32.5,201,0,1,0,0,0,0,0
0,299.6,310.8,1498,46.9,116,0,1,0,0,0,0,0
0,297.4,308.8,1353,49.4,188,0,1,0,0,0,0,0
0,299.0,310.1,2033,19.3,15,0,1,0,0,0,0,0
0,300.3,311.1,1676,28.6,158,0,1,0,0,0,0,0
2,302.3,311.3,1744,30.3,116,0,1,0,0,0,0,0
0,302.0,310.9,1455,43.2,220,0,1,0,0,0,0,0
1,302.7,311.7,1784,25.1,177,0,1,0,0,0,0,0
0,299.2,308.5,1378,50.4,220,0,0,1,0,0,0,1
0,300.1,310.5,1494,44.2,117,0,1,0,0,0,0,0
0,299.1,308.3,1533,42.4,48,0,1,0,0,0,0,0
0,298.2,309.0,1377,57.8,8,0,1,0,0,0,0,0
1,301.7,311.1,1618,36.7,115,0,1,0,0,0,0,0
1,298.8,308.6,1486,41.1,13,0,1,0,0,0,0,0
0,300.0,309.9,1608,33.4,76,0,1,0,0,0,0,0
1,301.6,310.4,1377,44.9,161,0,1,0,0,0,0,0
1,303.7,312.7,1316,51.8,197,0,1,0,0,0,0,0
0,296.3,307.4,1760,28.4,56,0,1,0,0,0,0,0
1,300.1,311.4,1913,21.9,15,0,1,0,0,0,0,0
0,300.7,312.3,1420,53.8,67,0,1,0,0,0,0,0
1,297.3,308.8,1447,57.4,134,0,1,0,0,0,0,0
0,299.2,310.6,1498,41.1,88,0,1,0,0,0,0,0
0,302.3,311.8,1487,43.2,206,0,1,0,0,0,0,0
0,302.9,312.4,1550,36.9,194,0,1,0,0,0,0,0
1,300.3,311.5,1400,43.8,0,0,1,0,0,0,0,0
0,298.0,307.3,1424,46.5,185,0,1,0,0,0,0,0
0,299.6,310.2,1588,34.1,38,0,1,0,0,0,0,0
2,301.9,310.3,1653,32.4,100,0,1,0,0,0,0,0
0,298.3,308.4,1408,43.1,177,0,1,0,0,0,0,0
0,300.3,311.9,1692,31.5,187,0,1,0,0,0,0,0
0,298.8,308.6,1872,22.5,82,0,1,0,0,0,0,0
1,303.0,312.5,1602,33.7,135,0,1,0,0,0,0,0
1,301.4,310.6,1464,37.4,74,0,1,0,0,0,0,0
0,298.9,308.6,2069,18.7,27,0,1,0,0,0,0,0
0,300.3,310.7,1539,32.3,123,0,1,0,0,0,0,0
0,302.0,310.1,1361,45.4,174,1,0,0,0,0,0,1
1,303.4,311.7,1353,44.1,192,1,0,0,0,0,0,1
0,300.6,309.5,1516,39.0,142,0,1,0,0,0,0,0
1,297.5,308.0,1560,39.0,141,0,1,0,0,0,0,0
1,300.5,309.7,1685,29.4,140,0,1,0,0,0,0,0
0,299.2,308.8,1605,31.1,181,0,1,0,0,0,0,0
0,303.4,311.9,1434,44.6,78,0,1,0,0,0,0,0
1,301.8,310.1,2372,13.9,205,0,0,0,1,0,0,1
0,300.8,311.1,1509,33.4,172,0,1,0,0,0,0,0
1,298.2,308.9,1614,35.5,15,0,1,0,0,0,0,0
0,298.3,308.6,1499,38.3,142,0,1,0,0,0,0,0
0,298.0,309.0,1679,32.4,90,0,1,0,0,0,0,0
1,297.2,308.4,1863,26.0,110,0,1,0,0,0,0,0
2,298.8,310.1,1704,30.7,150,0,1,0,0,0,0,0
1,299.2,308.4,1529,43.0,50,0,1,0,0,0,0,0
1,303.5,312.7,1420,49.1,42,0,1,0,0,0,0,0
0,301.1,311.1,1799,21.7,206,0,1,0,0,0,0,0
0,298.4,309.6,1479,37.8,144,0,1,0,0,0,0,0
2,300.7,310.7,1428,43.4,26,0,1,0,0,0,0,0
1,295.7,306.2,1423,42.5,121,0,1,0,0,0,0,0
0,298.2,309.0,1341,43.8,171,0,1,0,0,0,0,0
1,300.6,309.9,1449,42.4,169,0,1,0,0,0,0,0
1,297.7,307.2,1372,52.8,33,0,1,0,0,0,0,0
0,303.8,312.8,1503,40.0,154,0,1,0,0,0,0,0
0,300.2,309.8,1430,55.0,102,0,1,0,0,0,0,0
1,297.8,308.5,1488,41.9,196,0,1,0,0,0,0,0
0,296.8,307.9,1709,28.4,118,0,1,0,0,0,0,0
0,300.6,309.4,1410,40.6,99,0,1,0,0,0,0,0
1,300.8,309.7,1751,27.9,183,0,1,0,0,0,0,0
1,302.2,311.5,1449,44.5,113,0,1,0,0,0,0,0
0,297.3,308.5,1514,44.5,177,0,1,0,0,0,0,0
0,301.6,310.7,1380,51.8,216,0,0,1,0,0,0,1
0,301.1,312.2,1397,54.9,81,0,1,0,0,0,0,0
2,297.3,307.9,1461,37.5,161,0,1,0,0,0,0,0
0,300.7,310.5,1448,38.2,218,0,1,0,0,0,0,0
1,298.8,309.7,2098,19.0,133,0,1,0,0,0,0,0
0,296.7,307.9,1690,29.6,119,0,1,0,0,0,0,0
1,297.7,308.9,1327,63.7,21,0,1,0,0,0,0,0
1,300.6,309.5,1492,34.0,144,0,1,0,0,0,0,0
0,302.2,311.1,1630,34.6,94,0,1,0,0,0,0,0
0,300.8,311.7,1426,45.5,16,0,1,0,0,0,0,0
0,297.3,308.1,1642,36.9,206,0,1,0,0,0,0,0
1,302.4,310.9,1469,41.6,124,0,1,0,0,0,0,0
1,303.4,312.2,1972,23.5,59,0,1,0,0,0,0,0
0,298.4,308.6,1591,36.7,122,0,1,0,0,0,0,0
1,301.0,309.7,1288,58.4,162,0,1,0,0,0,0,0
1,300.3,309.5,1405,49.4,77,0,1,0,0,0,0,0
0,304.0,313.3,1519,36.7,117,0,1,0,0,0,0,0
1,297.2,307.9,1530,35.9,197,0,1,0,0,0,0,0
1,296.9,307.8,1828,24.6,91,0,1,0,0,0,0,0
1,297.3,308.2,1677,34.9,21,0,1,0,0,0,0,0
2,297.0,308.4,1305,54.6,168,0,1,0,0,0,0,0
1,299.3,308.4,1542,37.5,203,0,0,0,0,0,1,1
0,298.2,308.2,1436,50.2,43,0,1,0,0,0,0,0
1,301.3,311.2,1438,42.4,7,0,1,0,0,0,0,0
0,300.5,310.6,1368,49.6,10,0,1,0,0,0,0,0
1,297.1,308.1,1352,44.4,0,0,1,0,0,0,0,0
0,301.6,310.6,1431,37.5,137,0,1,0,0,0,0,0
0,301.4,311.3,2323,15.9,50,0,1,0,0,0,0,0
1,297.8,307.3,1315,54.0,180,0,1,0,0,0,0,0
0,301.0,312.2,1776,28.8,138,0,1,0,0,0,0,0
1,298.2,308.8,1645,28.2,58,0,1,0,0,0,0,0
0,300.8,312.5,1434,50.7,121,0,1,0,0,0,0,0
0,297.6,308.3,1410,47.0,191,0,1,0,0,0,0,0
2,298.3,309.4,1631,29.8,0,0,1,0,0,0,0,0
0,298.4,308.7,1588,35.0,99,0,1,0,0,0,0,0
0,300.6,311.7,1497,43.6,198,0,1,0,0,0,0,0
0,300.7,310.5,1960,21.0,194,0,1,0,0,0,0,0
0,298.2,308.9,1683,31.7,74,0,1,0,0,0,0,0
2,296.9,307.5,1397,48.3,22,0,1,0,0,0,0,0
0,297.4,309.3,1332,53.2,115,0,1,0,0,0,0,0
0,300.9,311.3,1613,32.7,170,0,1,0,0,0,0,0
0,299.1,310.5,1739,27.4,72,0,1,0,0,0,0,0
0,303.5,311.7,1959,22.3,157,0,1,0,0,0,0,0
1,300.8,311.2,1634,31.9,178,0,1,0,0,0,0,0
0,301.5,310.9,2760,8.0,15,0,0,0,1,0,0,1
0,300.3,311.1,1480,46.6,185,0,1,0,0,0,0,0
0,298.9,308.7,1389,44.9,69,0,1,0,0,0,0,0
0,302.0,311.0,1865,22.7,48,0,1,0,0,0,0,0
0,299.2,308.9,1368,47.2,175,0,1,0,0,0,0,0
1,301.4,310.3,1610,29.1,166,0,1,0,0,0,0,0
0,300.8,311.2,1397,48.7,111,0,1,0,0,0,0,0
1,300.6,310.5,1462,41.3,68,0,1,0,0,0,0,0
1,300.1,309.4,1569,31.6,124,0,1,0,0,0,0,0
0,301.5,310.5,2297,15.8,191,0,1,0,0,0,0,0
0,302.5,311.6,1595,29.5,35,0,1,0,0,0,0,0
0,302.0,310.5,1263,60.6,90,1,0,0,0,0,0,1
1,298.9,308.9,1679,28.7,181,0,1,0,0,0,0,0
0,300.5,311.9,1431,49.4,37,0,1,0,0,0,0,0
2,298.1,309.9,1686,29.1,60,0,1,0,0,0,0,0
0,296.5,307.5,1443,41.8,87,0,1,0,0,0,0,0
1,301.3,310.0,2068,17.8,176,0,1,0,0,0,0,0
1,301.4,310.7,1617,34.3,101,0,1,0,0,0,0,0
0,302.1,311.3,1758,24.4,200,0,1,0,0,0,0,0
0,295.6,306.2,1263,61.8,27,0,1,0,0,0,0,0
1,301.5,310.6,1573,37.4,37,0,1,0,0,0,0,0
1,299.4,309.1,1352,44.7,172,0,1,0,0,0,0,0
0,300.1,311.3,2579,12.5,64,0,0,0,1,0,0,1
1,300.7,310.1,1367,52.6,167,0,1,0,0,0,0,0
1,298.4,310.2,1725,32.0,80,0,1,0,0,0,0,0
1,297.8,307.3,1804,26.0,222,0,1,0,0,0,0,0
0,299.3,309.0,1449,46.5,121,0,1,0,0,0,0,0
0,296.9,308.1,1435,45.3,62,0,1,0,0,0,0,0
1,301.7,310.8,1671,31.6,137,0,1,0,0,0,0,0
1,299.8,310.0,1460,37.1,169,0,1,0,0,0,0,0
1,296.9,307.6,1685,32.0,10,0,1,0,0,0,0,0
0,297.3,308.2,1490,41.0,16,0,1,0,0,0,0,0
0,304.1,313.1,1556,36.3,86,0,1,0,0,0,0,0
0,298.2,308.8,1345,44.3,37,0,1,0,0,0,0,0
1,300.7,310.6,1484,38.0,84,0,1,0,0,0,0,0
1,301.2,309.9,1456,50.8,15,0,1,0,0,0,0,0
0,299.7,311.0,1827,25.4,194,0,1,0,0,0,0,0
0,299.8,309.0,1567,36.1,95,0,1,0,0,0,0,0
2,297.0,307.7,1834,23.8,195,0,1,0,0,0,0,0
1,302.5,312.1,1454,47.6,37,0,1,0,0,0,0,0
2,301.6,310.4,1369,45.4,156,0,1,0,0,0,0,0
0,302.3,311.4,1476,37.3,20,0,1,0,0,0,0,0
0,299.0,310.0,1582,31.9,51,0,1,0,0,0,0,0
0,300.8,310.2,1492,46.3,187,0,1,0,0,0,0,0
1,302.0,310.4,1212,55.6,79,1,0,0,0,0,0,1
0,297.4,309.0,1833,22.6,161,0,1,0,0,0,0,0
1,298.7,310.2,1598,33.3,36,0,1,0,0,0,0,0
1,301.3,309.9,1501,39.5,27,0,1,0,0,0,0,0
0,302.5,311.9,1265,59.8,119,0,1,0,0,0,0,0
0,299.8,309.4,1408,45.6,156,0,1,0,0,0,0,0
0,298.7,309.9,1372,54.7,44,0,1,0,0,0,0,0
1,299.3,310.7,1374,48.9,222,0,1,0,0,0,0,0
0,300.6,311.7,1432,39.2,2,0,1,0,0,0,0,0
1,298.3,309.1,1296,58.7,201,0,1,0,0,0,0,0
0,299.0,308.7,2250,16.6,208,0,1,0,0,0,0,0
2,296.4,307.5,1556,38.0,62,0,1,0,0,0,0,0
1,303.5,311.6,1562,34.2,107,0,1,0,0,0,0,0
1,303.7,312.8,1634,33.8,63,0,1,0,0,0,0,0
0,299.1,308.8,1320,67.5,20,0,0,0,1,0,0,1
0,301.3,311.0,1418,41.9,208,0,1,0,0,0,0,0
1,303.0,311.2,1519,38.0,139,0,1,0,0,0,0,0
0,298.7,309.9,1464,38.0,74,0,1,0,0,0,0,0
0,297.3,308.3,1550,37.0,54,0,1,0,0,0,0,0
0,300.3,311.8,1451,41.0,55,0,1,0,0,0,0,0
0,303.3,311.4,1511,43.4,65,0,1,0,0,0,0,0
0,302.5,312.0,1673,29.9,42,0,1,0,0,0,0,0
2,302.3,311.4,1443,44.1,51,0,1,0,0,0,0,0
0,298.5,309.2,1504,33.7,182,0,1,0,0,0,0,0
0,302.6,311.5,1442,59.8,169,0,0,0,1,0,0,1
0,301.8,311.0,1529,41.6,12,0,1,0,0,0,0,0
0,298.6,309.7,1356,54.0,6,0,1,0,0,0,0,0
0,297.6,308.3,1816,28.8,106,0,1,0,0,0,0,0
0,300.6,309.6,1726,30.0,147,0,1,0,0,0,0,0
0,302.2,310.7,1567,36.4,100,0,1,0,0,0,0,0
0,298.3,308.1,1840,21.5,88,0,1,0,0,0,0,0
1,302.6,312.1,1611,39.9,210,0,1,0,0,0,0,0
0,297.4,309.0,1583,32.0,166,0,1,0,0,0,0,0
0,300.5,310.8,1445,46.6,155,0,1,0,0,0,0,0
1,298.9,310.0,1561,45.3,58,0,1,0,0,0,0,0
1,300.6,309.6,1365,50.0,70,0,1,0,0,0,0,0
0,301.7,311.0,1715,24.8,17,0,1,0,0,0,0,0
1,301.0,310.4,1517,46.1,145,0,1,0,0,0,0,0
1,297.6,309.6,1592,35.8,57,0,1,0,0,0,0,0
1,301.8,310.3,1666,32.7,19,0,1,0,0,0,0,0
0,297.5,308.9,1427,44.7,135,0,1,0,0,0,0,0
1,304.2,313.6,1424,43.7,151,0,1,0,0,0,0,0
1,303.4,311.8,1391,42.7,197,0,1,0,0,0,0,0
0,298.3,308.5,1416,52.7,151,0,1,0,0,0,0,0
0,297.9,309.0,1502,40.2,30,0,1,0,0,0,0,0
1,298.1,307.9,1377,55.1,42,0,1,0,0,0,0,0
1,297.5,308.2,2448,13.8,29,0,1,0,0,0,0,0
0,298.8,309.7,1529,44.0,136,0,1,0,0,0,0,0
0,299.1,310.2,1695,29.6,8,0,1,0,0,0,0,0
0,302.7,310.4,1489,42.7,33,0,1,0,0,0,0,0
1,299.0,310.1,1705,30.1,84,0,1,0,0,0,0,0
1,298.5,309.5,1501,40.2,114,0,1,0,0,0,0,0
2,297.7,308.8,1469,43.7,96,0,1,0,0,0,0,0
1,301.0,311.6,1609,35.8,156,0,1,0,0,0,0,0
0,297.5,308.6,1596,36.0,141,0,1,0,0,0,0,0
0,300.5,310.7,1606,33.5,121,0,1,0,0,0,0,0
2,300.6,310.6,1830,26.2,78,0,1,0,0,0,0,0
0,300.9,311.0,1382,51.2,136,0,1,0,0,0,0,0
0,299.2,308.4,1580,32.6,142,0,1,0,0,0,0,0
0,300.2,310.3,1331,52.1,30,0,1,0,0,0,0,0
0,301.6,310.1,1326,48.2,77,1,0,0,0,0,0,1
0,300.7,310.1,1376,50.8,75,0,1,0,0,0,0,0
1,298.0,307.6,1459,44.4,163,0,1,0,0,0,0,0
0,299.0,310.3,1552,39.9,114,0,1,0,0,0,0,0
1,298.4,308.7,1584,31.7,117,0,1,0,0,0,0,0
0,303.5,312.0,1441,56.8,88,0,1,0,0,0,0,0
0,297.3,308.1,1458,45.7,202,0,1,0,0,0,0,0
2,298.6,308.8,1566,39.1,36,0,1,0,0,0,0,0
1,300.0,311.3,1629,32.1,55,0,1,0,0,0,0,0
0,300.9,311.1,1417,40.7,24,0,1,0,0,0,0,0
2,303.1,311.3,1494,42.7,221,0,1,0,0,0,0,0
1,300.6,309.6,1588,37.0,50,0,1,0,0,0,0,0
1,297.9,307.5,1647,30.8,212,0,1,0,0,0,0,0
2,303.8,312.5,1748,25.1,175,0,1,0,0,0,0,0
1,297.8,307.5,1405,46.9,113,0,1,0,0,0,0,0
2,295.6,306.1,1256,62.3,142,0,1,0,0,0,0,0
0,300.6,309.9,1428,48.8,109,0,1,0,0,0,0,0
2,300.0,309.0,1622,31.8,103,0,1,0,0,0,0,0
0,299.4,308.7,1553,42.7,128,0,1,0,0,0,0,0
0,301.4,310.9,1414,38.8,162,0,1,0,0,0,0,0
0,301.4,311.0,1470,40.6,86,0,1,0,0,0,0,0
0,298.0,308.5,1395,46.2,122,0,1,0,0,0,0,0
0,297.5,308.7,1454,45.0,19,0,1,0,0,0,0,0
0,298.8,309.1,1513,40.3,160,0,1,0,0,0,0,0
2,299.9,310.1,1447,51.4,185,0,1,0,0,0,0,0
0,301.8,309.7,1442,45.3,233,0,0,0,0,0,1,1
0,300.6,309.7,1639,30.4,121,0,1,0,0,0,0,0
2,299.1,309.4,1811,24.6,77,0,1,0,0,0,0,0
0,302.3,310.2,1394,55.4,57,0,1,0,0,0,0,0
0,298.8,309.7,1374,58.6,123,0,1,0,0,0,0,0
0,299.7,309.3,1592,34.2,8,0,1,0,0,0,0,0
0,298.4,309.3,1806,27.6,64,0,1,0,0,0,0,0
0,303.4,312.8,1449,43.9,94,0,1,0,0,0,0,0
1,301.3,311.1,1678,30.7,34,0,1,0,0,0,0,0
2,300.7,310.6,1631,32.6,43,0,1,0,0,0,0,0
1,301.0,309.7,1511,39.3,146,0,1,0,0,0,0,0
0,302.2,311.4,2080,19.2,31,0,1,0,0,0,0,0
2,302.5,311.5,1626,36.0,44,0,1,0,0,0,0,0
0,300.5,311.6,1385,54.8,173,0,1,0,0,0,0,0
1,298.1,308.6,1716,30.7,119,0,1,0,0,0,0,0
0,300.4,309.8,1314,63.1,146,0,1,0,0,0,0,0
0,299.3,309.1,1293,53.7,189,0,1,0,0,0,0,0
0,302.7,311.8,1461,46.1,10,0,1,0,0,0,0,0
1,297.9,309.0,2456,13.9,82,0,1,0,0,0,0,0
1,302.4,310.2,1485,45.9,50,0,1,0,0,0,0,0
0,300.8,311.3,1498,40.2,73,0,1,0,0,0,0,0
2,297.7,309.3,1400,48.9,147,0,1,0,0,0,0,0
0,298.7,310.3,1451,40.0,86,0,1,0,0,0,0,0
0,298.7,309.6,1516,38.5,61,0,1,0,0,0,0,0
0,300.7,311.0,1596,36.9,174,0,1,0,0,0,0,0
0,302.4,311.8,1476,46.6,110,0,1,0,0,0,0,0
0,298.9,310.0,1470,45.9,109,0,1,0,0,0,0,0
0,302.3,311.7,1611,38.6,143,0,1,0,0,0,0,0
1,302.2,310.8,1422,47.0,3,0,1,0,0,0,0,0
1,297.7,309.0,1656,33.2,20,0,1,0,0,0,0,0
1,297.5,308.5,1484,44.7,40,0,1,0,0,0,0,0
0,298.3,309.2,1562,37.6,137,0,1,0,0,0,0,0
0,303.4,311.8,1499,45.0,16,0,1,0,0,0,0,0
0,298.6,309.7,1703,26.1,5,0,1,0,0,0,0,0
2,300.4,309.8,1409,47.5,138,0,1,0,0,0,0,0
1,298.2,309.0,1723,26.6,168,0,1,0,0,0,0,0
1,300.6,309.8,1659,28.9,127,0,1,0,0,0,0,0
0,296.8,307.6,1338,44.4,128,0,1,0,0,0,0,0
1,298.0,307.6,1581,43.4,113,0,1,0,0,0,0,0
0,298.2,308.8,1362,57.3,28,0,1,0,0,0,0,0
0,303.5,312.4,1284,70.6,94,0,0,0,1,0,0,1
0,298.4,308.3,1452,48.5,73,0,1,0,0,0,0,0
0,298.1,307.9,1578,35.6,55,0,1,0,0,0,0,0
1,301.2,310.3,1379,43.2,56,0,1,0,0,0,0,0
1,302.0,311.1,1769,26.0,10,0,1,0,0,0,0,0
1,302.4,310.4,1463,42.2,139,0,1,0,0,0,0,0
1,302.4,311.3,1312,61.5,85,0,1,0,0,0,0,0
0,300.5,310.5,1452,42.9,29,0,1,0,0,0,0,0
1,297.9,307.9,1540,39.8,38,0,1,0,0,0,0,0
0,297.2,308.3,1379,52.1,21,0,1,0,0,0,0,0
1,298.8,310.3,1528,37.1,99,0,1,0,0,0,0,0
0,297.9,309.0,1450,46.8,118,0,1,0,0,0,0,0
1,302.2,311.3,1658,31.0,2,0,1,0,0,0,0,0
1,299.8,309.6,1331,50.2,98,0,1,0,0,0,0,0
0,303.7,312.5,1433,53.6,185,0,1,0,0,0,0,0
1,298.9,309.0,1812,25.9,174,0,1,0,0,0,0,0
0,298.4,310.1,1533,35.2,92,0,1,0,0,0,0,0
0,302.6,310.2,1325,62.4,92,1,0,0,0,0,0,1
0,298.2,307.9,1544,31.4,192,0,1,0,0,0,0,0
0,299.5,309.1,1852,22.6,77,0,1,0,0,0,0,0
0,301.5,310.9,1365,46.5,172,0,1,0,0,0,0,0
1,298.6,309.6,1635,29.7,9,0,1,0,0,0,0,0
0,302.0,310.8,1383,50.3,231,0,0,1,0,0,0,1
1,301.4,310.8,1738,30.3,104,0,1,0,0,0,0,0
0,300.8,311.7,1479,39.4,18,0,1,0,0,0,0,0
0,298.9,308.9,1422,47.6,15,0,1,0,0,0,0,0
0,297.9,309.1,1507,36.9,13,0,1,0,0,0,0,0
0,298.9,310.2,1706,27.6,103,0,1,0,0,0,0,0
0,299.2,308.5,1387,51.1,98,0,1,0,0,0,0,0
1,300.5,309.5,1691,27.6,67,0,1,0,0,0,0,0
0,301.3,311.3,1434,49.8,16,0,1,0,0,0,0,0
0,297.7,309.0,1538,43.2,30,0,1,0,0,0,0,0
0,302.7,310.5,1446,40.9,211,0,0,0,0,0,1,1
0,297.4,308.4,2151,17.7,0,0,1,0,0,0,0,0
1,303.9,313.1,1343,61.4,14,0,1,0,0,0,0,0
1,302.6,311.0,1329,48.6,111,1,0,0,0,0,0,1
0,299.6,309.1,1641,35.8,81,0,1,0,0,0,0,0
0,299.3,308.5,1772,26.1,52,0,1,0,0,0,0,0
0,300.2,311.6,1540,37.7,71,0,1,0,0,0,0,0
1,298.7,310.1,1368,56.8,72,0,1,0,0,0,0,0
0,301.2,310.8,1461,40.6,47,0,1,0,0,0,0,0
0,302.6,311.6,1453,37.0,135,0,1,0,0,0,0,0
2,298.1,308.5,1392,44.8,111,0,1,0,0,0,0,0
1,299.8,309.4,1412,47.8,130,0,1,0,0,0,0,0
0,298.4,309.1,1417,40.6,121,0,1,0,0,0,0,0
0,298.0,308.8,1610,33.7,212,0,1,0,0,0,0,0
0,297.3,308.2,1896,24.4,47,0,1,0,0,0,0,0
1,299.7,310.5,1594,35.4,134,0,1,0,0,0,0,0
2,297.9,307.9,1406,58.5,93,0,1,0,0,0,0,0
0,299.0,308.6,1661,32.2,106,0,1,0,0,0,0,0
